ID,Label,Type,Emperor,Title,FindingAid
Vespasian CXIII,Vespasian CXIII,Book,Vespasian,"Records and papers (originals and transcripts) concerning England and Spain, reign of King Henry VIII of England (1509–1547) to January 1625/6, including Miguel de Leon, Fiestas de Madrid, celebradas a XIX de Junio de 1622 annos, en la canonizacion de san Isidro [and others] ([Madrid], 1622) (ff. 45–46",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103278&displayMode=full&vid=IAMS_VU2
Nero DXI,Nero DXI,Book,Nero,"Andrew Wyntoun, Original Chronicle (3r–215v",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102741&displayMode=full&vid=IAMS_VU2
Otho DIX,Otho DIX,Book,Otho,"John Capgrave, Lives of saints (15th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102908&displayMode=full&vid=IAMS_VU2
Nero DI,Nero DI,Book,Nero,"Matthew Paris, Liber additamentorum (1250-1259)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102908&displayMode=full&vid=IAMS_VU2
Titus EIII,Titus EIII,Book,Titus,"Transcript of the Parliament rolls, 11–21 Richard II (1388–1398) (1st half of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103603&displayMode=full&vid=IAMS_VU2
Cleopatra AVII,Cleopatra AVII,Book,Cleopatra,"Treatise on the singing of the Psalms (fragment); Chronicle from the conception of Christ until 1062; Chronicle of Tewkesbury Abbey to 1263 (imperfect); Cartulary of Tewkesbury Abbey; Helperic of Auxerre, De Computo; Collatio Compoti Romani et Arabici; Herman of Reichenau, Computus Abbreviates; computistical argumenta (4th quarter of the 11th century-3rd quarter of the 13th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103713&displayMode=full&vid=IAMS_VU2
Cleopatra DIII,Cleopatra DIII,Book,Cleopatra,Cotton Manuscript Cleopatra D III (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103713&displayMode=full&vid=IAMS_VU2
Galba EIV,Galba EIV,Book,Galba,Memoriale Multorum Henrici Prioris; a collection of scientific texts (1175-1350),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103803&displayMode=full&vid=IAMS_VU2
Claudius BVIII,Claudius BVIII,Book,Claudius,Samaritan Pentateuch (1362),
Domitian XII,Domitian AXII,Book,Domitian,"Chronicle from Brutus to AD 1335/6; Cronica de Kirkstall; Ivo of Chartres, Sermo de Dedicatione Ecclesie; Sermo de Sacramentis Neophitorum (2nd half of the 12th century-4th quarter of the 14th century)",
Titus AI,Titus AI,Book,Titus,Cotton Manuscript Titus A I (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103680&displayMode=full&vid=IAMS_VU2
Caligula DXI,Caligula DXI,Book,Caligula,"Records and correspondence concerning England and France, 1529 (2nd quarter of the 16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102397&displayMode=full&vid=IAMS_VU2
Vitellius EXIV,Vitellius EXIV,Book,Vitellius,Collections of John Joscelyn (d. 1603) and Arthur Agard (d. 1615) (2nd half 16th century-1st quarter 17th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103094&displayMode=full&vid=IAMS_VU2
Julius FVI,Julius FVI,Book,Julius,Cotton Manuscript Julius F VI (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103094&displayMode=full&vid=IAMS_VU2
Otho AXVII,Otho AXVII,Book,Otho,Cotton Manuscript Otho A XVIII (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101769&displayMode=full&vid=IAMS_VU2
Titus CI,Titus CI,Book,Titus,"Collections concerning the Steward, Constable and Marshal, including papers read to the Society of Antiquaries; papers relating to duels; papers relating to the Office of Arms (1st half 14th century-1st half 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103532&displayMode=full&vid=IAMS_VU2
Caligula BX,Caligula BX,Book,Caligula,"Records and papers (originals and copies) concerning England and Scotland, 1558–1567 (3rd quarter 16th century-1st quarter 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103532&displayMode=full&vid=IAMS_VU2
Nero AI,Nero AI,Book,Nero,"Early modern index; Anglo-Saxon law codes I Cnut, II Cnut, II-III Edgar, the law codes of Alfred and of Ine (imperfect), Romscot, and Judex; completion of the law codes of Alfred and of Ine by John Joscelyn (d. 1603); Wulfstan of York, Institutes of Polity; Wulfstan of York, Homilies, including Sermo lupi ad Anglos; other additions, including an Easter table, the law codes I Æthelstan, I Edmund (imperfect), III Edgar (imperfect), V Æthelred; a law code beginning 'Godes grið', in the style of Wulfstan of York; VIII Æthelred; excerpts on the role of a bishop, (imperfect); Excerptiones Pseudo-Ecgberti; excerpts on canon law; hymn; sermons by Abbo of Saint-Germain-des-Prés (11th-16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102377&displayMode=full&vid=IAMS_VU2
