Id,Label,Note,Subjects,Subjects_Primary,Versification,_description,Macaronic,Author(s),Author confidence,Title(s),Bibliographic Ghosts,Type,n_witnesses
DIMEV 4526,Saint Abdon and Saint Ceman tway brethren were,,"Abdon and Ceman, saints, lives of;saints’ lives",Abdon and Ceman;saints’ lives,— two-line — aa,Lives of SS. Abdon and Ceman in the South English Legendary — couplets,,,,South English Legendary,,Text,1
DIMEV 4145,Of all thing that ever was I am the beginner,,"mystery plays;Abraham and Isaac, story of",mystery plays;Abraham and Isaac,— four-line — abab,The Dublin Play of Abraham and Isaac — 369 lines in cross-rhymed quatrains,,,,,,Text,1
DIMEV 306,Alas what thing can be more grievous pain,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 111.","love, vicissitudes of;absence, pangs of",love;absence,— seven-line — ababbcc,The pangs of absence — six stanzas rhyme royal,,,,,,Text,1
DIMEV 4899,Sith that eye that works my wellfare,,"absence, pangs of",absence,— nine-line — ababccddb,A song on Absence — thirteen 9-line stanzas,,,,,,Text,1
DIMEV 5061,Sustain abstain keep well in your mind,,advice;abstenance,advice;abstenance,— seven-line — ababbcc,"Advice regarding abstenance and forbearance — five stanzas rhyme royal with refrain, ‘Amonges all other for the moste happy’ or ‘Of all other shalbe most happy’",,,,,,Text,4
DIMEV 682,As the sea doth ebb and flow / So fareth the world,See 5910.,"precepts;abuses of the age;flatterers, against",precepts;abuses of the age;flatterers,— eight-line — ababbcbc,‘Lerne say wele say litel or say noȝt’ — thirty-one 8-line stanzas,,,,‘Lerne say wele say litel or say noȝt’,,Text,1
DIMEV 687,As time requireth so men done them use,,"chronicles, verse in;abuses of the age;clergy, criticism/satire of",chronicles;abuses of the age;clergy,— seven-line — ababbcc,"Reply that men gave, in the time of Godwyn, when others said that bishops should be more concerned with cure of souls than with wealth and pomp, in Part VI of Fabyan’s Chronicle, Part VI, cap. 212, translating Latin verses of which only the beginning is given, preceding it — one stanza rhyme royal",,,,,,Text,0
DIMEV 1091,Cunning and virtue is not set by,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 338.",abuses of the age;precepts,abuses of the age;precepts,— seven-line — ababbcc,Moral precepts — one stanza rhyme royal,,,,,,Text,1
DIMEV 1459,Friendship is felony,,abuses of the age,abuses of the age,"— four-line, monorhyme — aaaa",Four of the ‘Twelve Abuses of the Age’ — four monoriming lines in John Grimestone’s sermon notes,,John Grimestone,,,,Text,1
DIMEV 1478,Fulfilled is the prophecy for aye,,abuses of the age,abuses of the age,— eight-line — ababbcbc,‘The bisson ledys the blynde’ (on the Abuses of the Age) — ten 8-line stanzas,,,,‘The bisson ledys the blynde’,,Text,1
DIMEV 1506,Gift is made doomsman / guile is made chapman,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 463; this does not follow the Latin version, however, but the Gesta Romanorum — see Herrtage (1879) XHerrtage, Sidney John Hervon. The Early English Version of the Gesta Romanorum. EETS e.s. 33 (1879); repr. 1962, 360; cf. 3384, 3492, 4480",abuses of the age;translations,abuses of the age;translations,"— four-line — aabb, aaaa, abab",The Abuses of the Age — sixteen short lines with Latin couplets interspersed,,,,The Abuses of the Age,"Oxford, Bodleian Library Digby 53 (SC 1654), f. 55; see 3492; Oxford, Merton College Lat. 248, f. 120rb (cited in Brown (1939) XBrown, Carleton Fairchild. Religious Lyrics of the XVth Century. Oxford: Clarendon, 1939, 345-6, 268).",Text,21
DIMEV 1661,Great aport in highness,,"advice, to prelates;advice to princes;precepts;abuses of the age;flatterers, against",advice;advice to princes;precepts;abuses of the age;flatterers,— three-line — aaa,Three things that to trust in brings dishonour — three lines,,,,‘Ista tria sunt dyshonowret quia sunt confusores cuiuscunque regni et ciuitati’,,Text,1
DIMEV 1998,Here lieth the bones of Richard Adare,"Including Abuses of the Age: cf. 1506, 4480.","epitaphs;abuses of the age;Adare, Richard and Marion, of Kelshall (Herts.)",epitaphs;abuses of the age;Adare,— two-line — aa,"Epitaph, A.D. 1435, for Richard and Maryon Adare of Kelshall, Herts. — 14 lines",,,,,,Text,0
DIMEV 2152,I complain me sore when I remember me,"Noted in Reimer (1998) XReimer, Stephen R. “The Index of Middle English Verse: Some Corrections and Additions towards the Next Edition.” Notes and Queries 45 [243] (1998): 16-22, 16.","abuses of the age;complaints, on evils of the time;counsel, moral;youth, warnings about",abuses of the age;complaints;counsel;youth,— eight-line — ababbcbc,Advice to follow virtue in youth — eleven eight-line stanzas,,,,,,Text,1
DIMEV 2686,Ipocras great wisdom had,,abuses of the age,abuses of the age,— six-line — ababcc,True learning now disregarded — two six-line stanzas,,,,,,Text,1
DIMEV 2729,It is full hard to know any estate,"Immediately preceded by Lydgate’s Horse Sheep & Goose (1075) in this MS only, and followed by 5534; St 6= st. 23 of 5788; st. 7 = st. 1 of 5410 and = 5411.",proverbs;abuses of the age;mutability,proverbs;abuses of the age;mutability,— seven-line — ababbcc,Proverbial verses showing the influence of Cato’s ‘Distiches’ — in rhyme royal stanzas.,,,,,,Text,1
DIMEV 2782,Jack Trueman doth you to understand,,"letters;abuses of the age;evils of the time;chronicles, verse in;Peasants’ Revolt (1381)",letters;abuses of the age;evils of the time;chronicles;Peasants’ Revolt (1381),— irregular,Jack Trueman’s Epistle on the Abuses of the Age — eleven irregular lines,,,,Epistle on the Abuses of the Age,,Text,2
DIMEV 2953,Johan the Miller hath I-ground small small small,"Text preserved in early chronicles, such as Walsingham and Knighton, and followed in most later chronicles. Cf. 2957.",abuses of the age;Peasants’ Revolt (1381);historical poems,abuses of the age;Peasants’ Revolt (1381);historical poems,,"Moralising verses by John Ball in a letter to the peasants of Essex, 1381 — eight lines",,John Ball,,,,Text,1
DIMEV 2956,John Ball greeteth you well all,Cf. 2957.,abuses of the age;Peasants’ Revolt (1381);historical poems,abuses of the age;Peasants’ Revolt (1381);historical poems,,Letter of John Ball to the rebels — one quatrain,,John Ball,,,,Text,1
DIMEV 2957,John Ball Saint Mary priest,"Cf. 1675, 2956, 2953 and 3791, variant. Text preserved in early chronicles such as Walsingham and Knighton, and followed in most later chronicles.",abuses of the age;Peasants’ Revolt (1381);historical poems,abuses of the age;Peasants’ Revolt (1381);historical poems,,"Moralising verses, including Signs of the Degeneracy of the Age, by John Ball — thirteen lines",,John Ball,,,,Text,1
DIMEV 2994,King counsel-less / Bishop loreless,"Cf. Tilley (1950) XTilley, Morris Palmer. A Dictionary of the Proverbs in England in the 16th and 17th Centuries. Ann Arbor, MI: University of Michigan, 1950, W 700. Most texts show slight variations in number and order of lines.",abuses of the age,abuses of the age,"— six-line — aaaabb, aaaaaa",The Abuses of the Age: rhyming lines ending in -les,,,,,,Text,14
DIMEV 3038,Law is laid under grave,"Cf. Walther (1969) XWalther, Hans. Initia carmina ac versuum medii aevi posterioris latinorum. Göttingen, 1959; 2nd ed. 1969, no. 10275; Walther (1963) XWalther, Hans. Proverbia sententiaque latinitatis medii aevi. 6 vols. Göttingen, 1963-69, no. 13695.",law;bribery;abuses of the age,law;bribery;abuses of the age,— two-line — aa,A complaint about bribery in the law — two couplets translating ‘lex est defuncta quia iudicis est manus vncta / Ob cuius vnguentum lex est in carcere tentum’ which precedes it in John Grimestone’s sermon notebook,,John Grimestone,,,,Text,1
DIMEV 3046,Len puet fere et defere,,"abuses of the age;Edward II, criticism of;political poems",abuses of the age;Edward II;political poems,"— four-line, six-line, three-line — abab, aabccb, aaa","The Abuses of the Age: On the King’s Breaking the Magna Charta — English lines in varying stanzas, with alternate Anglo-Norman lines at the beginning",Anglo-Norman,,,On the King’s Breaking the Magna Charta,,Text,2
DIMEV 3740,Now god that sittest on high in throne,,"prayers, for the nation;political poems;abuses of the age",prayers;political poems;abuses of the age,— eight-line — ababbcbc,"A prayer for England — nineteen 8-line stanzas (ababbcbc) with refrain, ‘Of alle oure synnys god make a delyueraunce’",,,,,,Text,1
DIMEV 4142,Of all the witty men and wise I warn all I thee watch,,"satire;abuses of the age;Church, criticism/satire of",satire;abuses of the age;Church,— ten-line,The Papelard Priest — nine 10-line alliterative stanzas with ‘O and I’ refrain,,,,The Papelard Priest,,Text,1
DIMEV 4202,Of Ribaldry I rhyme and read of my roll,,satire;abuses of the age,satire;abuses of the age,"— four-line, alliteration — aaaa",Satire on the Retinues of the great — ten long alliterative monorhyming quatrains,,,,,,Text,1
DIMEV 4480,Richard Nordell lieth buried here,Includes 4 lines on Abuses of the Age; cf. 1506 and 1998.,"epitaphs;abuses of the age;inscriptions;Nordell, Richard, of London",epitaphs;abuses of the age;inscriptions;Nordell,— two-line — aa,Epitaph — 16 lines in couplets,,,,,,Text,0
DIMEV 5861,Thou that sittest in this judicial place,,"chronicles, verse in;justice;abuses of the age",chronicles;justice;abuses of the age,— seven-line — ababbcc,"Verses written upon the place of judgement where a corrupt judge was flayn by the command of Cambysus, in Part VI of Fabyan’s Chronicle, Part VI, cap. 195, translating Latin verses which precede it — one stanza rhyme royal",,,,,,Text,0
DIMEV 6141,Vices be wild and virtues lame,,"abuses of the age;carols, of complaint",abuses of the age;carols,— four-line — aaab,A song on the Abuses of the Age — six quatrains (aaab) plus burden (bb): ‘God þat sittith in trinite / Amend this world yf thy will be’,,,,,,Text,2
DIMEV 6396,When pride is in price,"For Abuses of the Age, cf. 6397.","prophecies, political;abuses of the age",prophecies;abuses of the age,— two-line — aa,"A political prophecy for Scotland’s prosperity in A.D. 1581, incorporating a version of the Abuses of the Age — 14 lines in couplets",,,,,,Text,2
DIMEV 6397,When pride is most in prize,,abuses of the age,abuses of the age,— five-line — aaabb,On the Abuses of the Age — five lines (aaabb),,,,,,Text,2
DIMEV 6475,When thou seest on leode,,abuses of the age,abuses of the age,"— unrhymed, two-line — aa",The Abuses of the Age — fourteen lines roughly rhyming in some pairs (couplets),,,,,,Text,2
DIMEV 6633,Whoso thinketh up this careful life,,fables;satire;abuses of the age,fables;satire;abuses of the age,"— eight-line, six-line — ababc, ababcdcd","A song on the Times (temp Edward II) with a fable of the Lion, Wolf, Fox, and Ass — twenty-four 8-line stanzas (ababcdcd) and one of 5 lines (ababc)",,,,,,Text,1
DIMEV 6679,Why will the merchants of renown,,"abuses of the age;merchants, against",abuses of the age;merchants,— seven-line — aaabbab,"William Dunbar, ‘To the merchantis of Edinburgh’ — eleven stanzas (aaab) and ‘a kind of bob-and-wheel consisting of a dimeter line and two tetrameter lines riming bab, lines five and seven serving as a double refrain throughout the poem’ (Ridley (1973) XRidley, Florence H. “Middle Scots Writers.” A Manual of the Writings in Middle English Albert E. Hartung Vol. 4, Fascicle 10. Hamden, CT: Archon Books, 1973, 1026-7)",,William Dunbar,,,,Text,1
DIMEV 6704,Wise men are blind,,proverbs;translations;evils of the time;abuses of the age,proverbs;translations;evils of the time;abuses of the age,— four-line — aaaa,"On the evils of the time, trans. ‘Prudente ceci cognati degenerantur…’ — one monorhyming quatrain",,,,,,Text,1
DIMEV 6706,Wiseman Wrangler,,abuses of the age,abuses of the age,— six-line — aaaaaa,A list of the Abuses of the Age — 6 monorhyming lines,,,,,,Text,1
