Source,Target,Label,Weight
Adam Davy,Unknown,BodLauMis622,1
Adam of Cobsam,John Lydgate,Lam306,1
Adam of Cobsam,Sir John Fortescue,Lam306,1
Adam of Cobsam,Unknown,Lam306,1
Adam of Cobsam,William Lichfield,Lam306,1
Aesop,Geoffrey Chaucer,CamTCC599,1
Aesop,John Lydgate,CamTCC599,1
Aesop,Unknown,CamTCC599,1
Albertus Magnus,Unknown,BodEngPoeta1,1
"Alfred the Great, king",Unknown,CamTCC323;MaidstA13;OxfJesus29,3
Andrew Wintoun,Gawin Douglas,CamMagPep2553,1
Andrew Wintoun,"James I, king of Scotland",CamMagPep2553,1
Andrew Wintoun,James Inglis,CamMagPep2553,1
Andrew Wintoun,Richard Hatfield,CamMagPep2553,1
Andrew Wintoun,Robert Henryson,CamMagPep2553,1
Andrew Wintoun,Unknown,BLRoy17Dxx;CamMagPep2553,2
Andrew Wintoun,Walter Kennedy,CamMagPep2553,1
Andrew Wintoun,William Dunbar,CamMagPep2553,1
Anthony Wydeville (earl Rivers),Anthony Wydeville (earl Rivers),Lam265,1
Anthony Wydeville (earl Rivers),Henry VIII,BLAdd31922,1
Anthony Wydeville (earl Rivers),Unknown,BLAdd31922;NYPLDrexFr4185,2
Arnoldus de Villa Nova,Richard Carpenter,BLHar2407,1
Arnoldus de Villa Nova,Unknown,BLHar2407,1
Augustine,Augustine,NLS18721,1
Augustine,Bernard of Clairvaux,NLS18721,1
Augustine,Hendyng,NLS18721,1
Augustine,John Grimestone,NLS18721,1
Augustine,Saint Anselm of Canterbury,NLS18721,1
Augustine,Saint Jerome,NLS18721,1
Augustine,Unknown,NLS18721,1
Augustine of Hippo,Augustine,NLS18721,1
Augustine of Hippo,Bernard of Clairvaux,NLS18721,1
Augustine of Hippo,Geoffrey Chaucer,BodAsh59,1
Augustine of Hippo,Hendyng,NLS18721,1
Augustine of Hippo,John Grimestone,NLS18721,1
Augustine of Hippo,John Lydgate,CamTCC601;BodAsh59,2
Augustine of Hippo,Merlin,BodAsh59,1
Augustine of Hippo,Saint Anselm of Canterbury,NLS18721,1
Augustine of Hippo,Saint Jerome,NLS18721,1
Augustine of Hippo,Thomas Hoccleve,CamTCC601,1
Augustine of Hippo,Unknown,CamTCC601;NLS18721;OxfNew88;CamTCC1144;BodAsh59,5
Ausonius,Gawin Douglas,Banna,1
Ausonius,Geoffrey Chaucer,Banna,1
Ausonius,"James I, king of Scotland",Banna,1
Ausonius,John Lydgate,Banna,1
Ausonius,John Skelton,Banna,1
Ausonius,Robert Henryson,Banna,1
Ausonius,Unknown,Banna,1
Ausonius,William Dunbar,Banna,1
Banistor,Thomas Assheldon,NLWPen50,1
Banistor,Unknown,NLWPen50,1
Benedict Burgh,Aesop,CamTCC599,1
Benedict Burgh,Augustine of Hippo,BodAsh59,1
Benedict Burgh,Benedict Burgh,BLHar271;CULHh412;BLAdd29729;CULFf49;PierpontM775;RomeEC1306;BLHar4733;GULHun259;DULCosVii14;BodEngPoete15;Chetham8009;NLWPen481;BLHar116;CamMagPep2006;HunHM144;GottingenPhil163;BLHar7333;BodAsh59;BLAdd38179;CULEe431;BLAru168;BLHar2251,22
Benedict Burgh,Boethius,BLHar43,1
Benedict Burgh,Christine de Pisan,CULFf16,1
