Source,Target,Label
abuses of the age,John Grimestone,DIMEV 1459
abuses of the age,John Ball,DIMEV 2953
Peasants’ Revolt (1381),John Ball,DIMEV 2953
historical poems,John Ball,DIMEV 2953
abuses of the age,John Ball,DIMEV 2956
Peasants’ Revolt (1381),John Ball,DIMEV 2956
historical poems,John Ball,DIMEV 2956
abuses of the age,John Ball,DIMEV 2957
Peasants’ Revolt (1381),John Ball,DIMEV 2957
historical poems,John Ball,DIMEV 2957
law,John Grimestone,DIMEV 3038
bribery,John Grimestone,DIMEV 3038
abuses of the age,John Grimestone,DIMEV 3038
abuses of the age,William Dunbar,DIMEV 6679
merchants,William Dunbar,DIMEV 6679
Molins,Charles d’Orléans,DIMEV 289
love lyrics,Charles d’Orléans,DIMEV 289
roundels,Charles d’Orléans,DIMEV 289
acrostics,Charles d’Orléans,DIMEV 289
acrostics,Humfrey Newton,DIMEV 785
love lyrics,Humfrey Newton,DIMEV 785
women,Humfrey Newton,DIMEV 785
death,John Grimestone,DIMEV 1103
acrostics,John Grimestone,DIMEV 1103
acrostics,Humfrey Newton,DIMEV 1219
love letters,Humfrey Newton,DIMEV 1219
acrostics,Humfrey Newton,DIMEV 1220
Virgin Mary,John Lydgate,DIMEV 1698
acrostics,John Lydgate,DIMEV 1698
acrostics,Humfrey Newton,DIMEV 1938
love lyrics,Humfrey Newton,DIMEV 1938
acrostics,John Wilson,DIMEV 2671
God,John Wilson,DIMEV 2671
acrostics,John Skelton,DIMEV 3014
love lyrics,John Skelton,DIMEV 3014
love letters,Humfrey Newton,DIMEV 3561
acrostics,Humfrey Newton,DIMEV 3561
acrostics,William Dunbar,DIMEV 4468
occasional verse,William Dunbar,DIMEV 4468
historical poems,William Dunbar,DIMEV 4468
Stewart,William Dunbar,DIMEV 4468
acrostics,William Huchen,DIMEV 5064
Virgin Mary,William Huchen,DIMEV 5064
Stanley,William Huchen,DIMEV 5064
envoys,John Lydgate,DIMEV 139
advice,John Lydgate,DIMEV 139
marriage,John Lydgate,DIMEV 139
sermons,Friar Nicholas Philip,DIMEV 170
Christ,Friar Nicholas Philip,DIMEV 170
advice,Friar Nicholas Philip,DIMEV 170
advice,Geoffrey Chaucer,DIMEV 218
verse curse,Geoffrey Chaucer,DIMEV 218
chastisement,Geoffrey Chaucer,DIMEV 218
manuscripts,Geoffrey Chaucer,DIMEV 218
advice,William Dunbar,DIMEV 230
greed,William Dunbar,DIMEV 230
advice,John Grimestone,DIMEV 387
advice,William of Nassington,DIMEV 423
alphabetic poems,Richard Kaye,DIMEV 544
advice,Richard Kaye,DIMEV 544
manners,Richard Kaye,DIMEV 544
advice,William Dunbar,DIMEV 782
advice,John Lydgate,DIMEV 951
precepts,John Lydgate,DIMEV 951
moderation,John Lydgate,DIMEV 951
advice,Hendyng,DIMEV 973
sermons,Hendyng,DIMEV 973
proverbs,Hendyng,DIMEV 973
sermons,Friar Nicholas Philip,DIMEV 1041
Christ,Friar Nicholas Philip,DIMEV 1041
advice,Friar Nicholas Philip,DIMEV 1041
tongue,John Lydgate,DIMEV 1070
advice,John Lydgate,DIMEV 1070
debates,John Lydgate,DIMEV 1075
fables,John Lydgate,DIMEV 1075
advice,John Lydgate,DIMEV 1075
envoys,John Lydgate,DIMEV 1075
money,John Lydgate,DIMEV 1160
advice,John Lydgate,DIMEV 1160
advice,John Grimestone,DIMEV 1366
time,John Grimestone,DIMEV 1366
advice,John Grimestone,DIMEV 1410
advice,John Walton,DIMEV 1423
advice,Boethius,DIMEV 1423
advice,William Dunbar,DIMEV 1481
advice,Richard Rolle,DIMEV 1629
death,John Grimestone,DIMEV 1803
advice,John Grimestone,DIMEV 1803
advice,Nicholas Bozon,DIMEV 1856
time,John Grimestone,DIMEV 1900
advice,John Grimestone,DIMEV 1900
death,John Grimestone,DIMEV 1900
devotional verse,John Audelay,DIMEV 2004
advice,John Audelay,DIMEV 2004
advice,William Dunbar,DIMEV 2090
advice,John Lydgate,DIMEV 2156
advice,John of Bromyard,DIMEV 2160
translations,John of Bromyard,DIMEV 2160
advice,John Grimestone,DIMEV 2406
lechery,John Grimestone,DIMEV 2413
advice,John Grimestone,DIMEV 2413
translations,John Grimestone,DIMEV 2413
advice,John Grimestone,DIMEV 2416
translations,John Grimestone,DIMEV 2416
tongue,John Grimestone,DIMEV 2416
mottoes,Thomas Hoccleve,DIMEV 2661
advice,Thomas Hoccleve,DIMEV 2661
advice,William Dunbar,DIMEV 2680
death,John Grimestone,DIMEV 2710
advice,John Grimestone,DIMEV 2710
advice,Walter Kennedy,DIMEV 3076
repentance,Walter Kennedy,DIMEV 3076
sermons,Friar Nicholas Philip,DIMEV 3174
Christ,Friar Nicholas Philip,DIMEV 3174
advice,Friar Nicholas Philip,DIMEV 3174
translations,Bernard of Clairvaux,DIMEV 3347
advice,Bernard of Clairvaux,DIMEV 3347
advice,John Lydgate,DIMEV 3473
advice,William Dunbar,DIMEV 3578
advice,Thomas Hoccleve,DIMEV 4029
dialogues,Thomas Hoccleve,DIMEV 4029
advice,John Lucas,DIMEV 4097
advice,John Lydgate,DIMEV 4102
aphorisms,Nicholas Bozon,DIMEV 4277
