Source,Target
Abdon and Ceman,Bod779
saints’ lives,Bod779
mystery plays,TCD432
Abraham and Isaac,TCD432
love,BodRawC813
absence,BodRawC813
absence,CamMagPep1408
advice,OxfChrChAll
advice,BLHar5036
advice,Banna
advice,TCD160
abstenance,OxfChrChAll
abstenance,BLHar5036
abstenance,Banna
abstenance,TCD160
precepts,BodDig102
abuses of the age,BodDig102
flatterers,BodDig102
abuses of the age,Longleat254
precepts,Longleat254
abuses of the age,NLS18721
abuses of the age,BLHar5396
abuses of the age,BodAsh750
abuses of the age,Bod797
abuses of the age,BodDou95
abuses of the age,BodLauMis748
abuses of the age,CamStJohn37
abuses of the age,CamTCC1157
abuses of the age,BLAdd8151
abuses of the age,BLAdd9066
abuses of the age,BLAdd37049
abuses of the age,BLAdd60577
abuses of the age,BLHar2251
abuses of the age,BLHar3362
abuses of the age,BLRoy17Bxvii
abuses of the age,WestmAb27
abuses of the age,RylandsLat394
abuses of the age,Norwich158926
abuses of the age,WorcF154
abuses of the age,TCD509
abuses of the age,TCD517
abuses of the age,Cox
abuses of the age,TokyoTak61
translations,BodAsh750
translations,Bod797
translations,BodDou95
translations,BodLauMis748
translations,CamStJohn37
translations,CamTCC1157
translations,BLAdd8151
translations,BLAdd9066
translations,BLAdd37049
translations,BLAdd60577
translations,BLHar2251
translations,BLHar3362
translations,BLRoy17Bxvii
translations,WestmAb27
translations,RylandsLat394
translations,Norwich158926
translations,WorcF154
translations,TCD509
translations,TCD517
translations,Cox
translations,TokyoTak61
advice,Bod692
advice to princes,Bod692
precepts,Bod692
abuses of the age,Bod692
flatterers,Bod692
abuses of the age,CULFf49
complaints,CULFf49
counsel,CULFf49
youth,CULFf49
abuses of the age,PierpontAcc676
proverbs,HunHM144
abuses of the age,HunHM144
mutability,HunHM144
letters,BLCottClauEIII
letters,BLCottTibCVII
abuses of the age,BLCottClauEIII
abuses of the age,BLCottTibCVII
evils of the time,BLCottClauEIII
evils of the time,BLCottTibCVII
chronicles,BLCottClauEIII
chronicles,BLCottTibCVII
Peasants’ Revolt (1381),BLCottClauEIII
Peasants’ Revolt (1381),BLCottTibCVII
abuses of the age,BLRoy13Eix
Peasants’ Revolt (1381),BLRoy13Eix
historical poems,BLRoy13Eix
abuses of the age,Unknown
Peasants’ Revolt (1381),Unknown
historical poems,Unknown
abuses of the age,Unknown
Peasants’ Revolt (1381),Unknown
historical poems,Unknown
abuses of the age,Bod758
abuses of the age,BodRawC662
abuses of the age,BodRawPoe32
abuses of the age,CULAdd6860
abuses of the age,CULLl510
abuses of the age,CamGon365
abuses of the age,CamMagPep2553
abuses of the age,CamTCC108
abuses of the age,BLCottCleoCVI
abuses of the age,BLHar913
abuses of the age,BLSl1210
abuses of the age,Banna
abuses of the age,IpswichPL6
abuses of the age,PierpontM957
law,NLS18721
bribery,NLS18721
abuses of the age,NLS18721
abuses of the age,CamStJohn112
abuses of the age,NLS1921
Edward II,CamStJohn112
Edward II,NLS1921
political poems,CamStJohn112
political poems,NLS1921
prayers,CULFf16
political poems,CULFf16
abuses of the age,CULFf16
satire,BLAdd45896
abuses of the age,BLAdd45896
Church,BLAdd45896
satire,BLHar2253
abuses of the age,BLHar2253
abuses of the age,BodEngPoete1
abuses of the age,OxfBal354
carols,BodEngPoete1
carols,OxfBal354
prophecies,CULLl510
prophecies,CamMagPep2553
abuses of the age,CULLl510
abuses of the age,CamMagPep2553
abuses of the age,BLRoy17Bxvii
abuses of the age,BLAdd8151
abuses of the age,OxfJesus29
abuses of the age,BLCottCalAIX
fables,BLHar913
satire,BLHar913
abuses of the age,BLHar913
abuses of the age,CULLl510
merchants,CULLl510
proverbs,BLAdd60577
translations,BLAdd60577
evils of the time,BLAdd60577
abuses of the age,BLAdd60577
abuses of the age,OxfMert248
sermons,CULIi38
abuses of the age,CULIi38
proverbs,CULIi38
abuses of the age,CULIi38
evils of the time,CULIi38
Molins,BNfr25458
love lyrics,BNfr25458
