Source,Target,Label,Weight
A longing for Death — one quatrain,death,DIMEV 6404,1
A proverbial couplet,friends,DIMEV 1509,1
A proverbial couplet,proverbs,DIMEV 4806;DIMEV 1509,2
A proverbial couplet,translations,DIMEV 1509,1
Abdon and Ceman,saints’ lives,DIMEV 4526,1
Adam,Creed,DIMEV 1624,1
Adam,penitence,DIMEV 1624,1
Adam,sin,DIMEV 1624,1
Adrian,saints’ lives,DIMEV 5505,1
Aelthelwold,saints’ lives,DIMEV 4528,1
Aethelbert,saints’ lives,DIMEV 4527,1
Agatha,saints’ lives,DIMEV 600;DIMEV 4529;DIMEV 4530,3
Agincourt,historical poems,DIMEV 5033,1
Agnes,saints’ lives,DIMEV 517;DIMEV 4531,2
Alban,Amphibal,DIMEV 5966,1
Alban,saints’ lives,DIMEV 4534,1
Aldhelm,saints’ lives,DIMEV 4535,1
Alexander,Trajan,DIMEV 479,1
Alexander,exempla,DIMEV 479,1
Alexis,saints’ lives,DIMEV 379;DIMEV 4923;DIMEV 382;DIMEV 3102;DIMEV 6486,5
Alexius,saints’ lives,DIMEV 2572,1
All Saints’,All Souls’ Day,DIMEV 2002;DIMEV 2819,2
All Saints’,sermon texts,DIMEV 1783,1
Alphege,saints’ lives,DIMEV 4536,1
Ambrose,saints’ lives,DIMEV 1792,1
Amys,inscriptions,DIMEV 1940,1
Anastasia,saints’ lives,DIMEV 5423;DIMEV 4538,2
Andrew,saints’ lives,DIMEV 4203;DIMEV 4539,2
Andrew,sermon texts,DIMEV 4646;DIMEV 1776,2
Anne,carols,DIMEV 5088,1
Anne,prayers,DIMEV 5088;DIMEV 5824,2
Anne,saints’ lives,DIMEV 5016;DIMEV 2359,2
Annunciation,Virgin Mary,DIMEV 1467;DIMEV 1173;DIMEV 3526,3
Annunciation,songs,DIMEV 394,1
Anthony,Cuthbert,DIMEV 1969,1
Anthony,Macarius,DIMEV 5160,1
Anthony,inscriptions,DIMEV 1969,1
Arthur,Arthurian literature,DIMEV 1794;DIMEV 4959,2
Arthur,Catherine of Aragon,DIMEV 6192;DIMEV 2747;DIMEV 2203;DIMEV 5877;DIMEV 6555;DIMEV 5881;DIMEV 3308;DIMEV 2106;DIMEV 3309;DIMEV 2118;DIMEV 3314;DIMEV 1097,12
Arthur,Charlemagne,DIMEV 3154,1
Arthur,Coventry,DIMEV 4519,1
Arthur,David,DIMEV 3154,1
Arthur,Gawain,DIMEV 4959,1
Arthur,Katherine of Alexandria,DIMEV 2203,1
Arthur,occasional verse,DIMEV 2747;DIMEV 2203;DIMEV 4519;DIMEV 5877;DIMEV 5881;DIMEV 6555;DIMEV 2106;DIMEV 3309;DIMEV 2118;DIMEV 3314,10
Arthur,pageant verses,DIMEV 2747;DIMEV 2203;DIMEV 5877;DIMEV 6555;DIMEV 5881;DIMEV 2106;DIMEV 3309;DIMEV 2118;DIMEV 3314,9
Arthur,political poems,DIMEV 3062,1
Arthur,quest,DIMEV 2618,1
Arthur,supernatural,DIMEV 2618,1
Arthurian literature,Gawain,DIMEV 4959,1
Arthurian literature,Merlin,DIMEV 1886,1
Arthurian literature,romances,DIMEV 3734;DIMEV 3252;DIMEV 3745;DIMEV 2807,4
Arthurian literature,sixteen-line,DIMEV 3074,1
Arundel,patronage,DIMEV 1290,1
Arundel,virelais,DIMEV 1290,1
Ascension,Christ,DIMEV 992;DIMEV 2582,2
Ascension,Disciples,DIMEV 2582,1
Ascension,sermons,DIMEV 566,1
Assumption,Virgin Mary,DIMEV 1049,1
