Source,Target,SourceYear,TargetYear,Book,Lot
Kemble (1798),Devonshire (Undated),1798,,779,
Steeves (1916),G.D.Smith (1920),1916,1920,780,329
James Perry (1823),Jolley (1844),1823,1844,769,303
Bright (1845),Comerford (1881),1845,1881,770,4109
Jones (1923),Clawson (1926),1923,1926,767,44
H.G.Read (Undated),McKee (1901),,1901,769,
Bridgewater (Undated),Huntington (1918),,1918,772,
Sotheby’s (1904),G.D.Smith (1920),1904,1920,769,583
Devonshire (Undated),Huntington (1918),,1918,779,
R.S.Turner (1888),Charles Butler of Warren Wood (1911),1888,1911,780,3018
Ouvry (1882),Locker (Undated),1882,,781,1097
Heber (1834),Britwell (1922),1834,1922,773,1865
McKee (1901),Sotheby’s (1904),1901,1904,769,
Comerford (1881),G.D.Smith (1920),1881,1920,770,2839
E.D.Church (Undated),Huntington (1919),,1919,771,
Charles Butler of Warren Wood (1911),Steeves (1916),1911,1916,780,844
Scott’s Cat. (1804),James Perry (1823),1804,1823,769,550
Jolley (1844),Charles Clark of Totham Hall (Undated),1844,,769,1614
Charles Clark of Totham Hall (Undated),H.G.Read (Undated),,,769,
C.L.F. Robinson (1917),Chew (1924),1917,1924,781,467
Locker (Undated),Hoe (1912),,1912,781,
Hoe (1912),C.L.F. Robinson (1917),1912,1917,781,2468
Mostyn (1919),Clawson (1926),1919,1926,520,71
Sir Henry Spelman (1709),Rev. Cox Macro (Undated),1709,,MS. 40A,
G.D.Smith (1920),Clawson (1926),1920,1926,521,358
Tite (1874),Huth (1914),1874,1914,527,1586
Inglis (1826),Britwell (1922),1826,1922,529,764
Mostyn (1919),Clawson (1926),1919,1926,526,361
Bliss (1858),Hoe (1912),1858,1912,530,1499
Mostyn (1919),G.D.Smith (1920),1919,1920,521,347
Mostyn (1919),Clawson (1926),1919,1926,518,171
Jones (1919),Clawson (Undated),1919,,523,
Puttick’s (1918),Jones (1919),1918,1919,523,182
Rev. Cox Macro (Undated),"John Pattenson, M.P. for Norwich (1820)",,1820,MS. 40A,
"John Pattenson, M.P. for Norwich (1820)",Hudson Gurney (1936),1820,1936,MS. 40A,
Hoe (1912),Huntington (1917),1912,1917,530,1653
Mostyn (1919),Clawson (1926),1919,1926,524,338
Corser (1869),Tite (1874),1869,1874,527,712
Huth (1914),Jones (1919),1914,1919,527,3978
Hoe (1912),Huntington (1918),1912,1918,806,2599
Devonshire (Undated),Huntington (Undated),,,804,
M.J.Perry (Undated),Jones (1923),,1923,805,
Sotheby’s (1901),Sotheby’s (1916),1901,1916,808,
Heber (1834),Britwell (1923),1834,1923,807,2007t
Kemble (1798),Devonshire (Undated),1798,,804,
Pulsford (1914),Titus (1919),1914,1919,809,583
James E. Matthew (Undated),Pulsford (1914),,1914,809,
Locker (Undated),M.J.Perry (Undated),,,805,
Bridgewater (Undated),Huntington (1918),,1918,817,
Sotheby’s (1916),Shakespeare Library (1918),1916,1918,808,
Huth (1912),White (Undated),1912,,151,1476
Narcissus Luttrell (Undated),Farmer (1798),,1798,160,
Herber (1834),Britwell (1854),1834,1854,153,342
Devonshire (Undated),Huntington (Undated),,,148,
Freeling (1836),Corser (1869),1836,1869,151,866
Brinley Nicholson (1893),W.A. White (Undated),1893,,156,
Rev. John Mitford (1860),Mark P. Robinson (1918),1860,1918,157,2640
Fountaine (1902),Huth (1912),1902,1912,152,189
Huntington (1918),Clawson (1926),1918,1926,159,88
Heber (1834),Britwell (1922),1834,1922,160,332
Farmer (1798),Heber (1834),1798,1834,160,6443
Chew (Undated),Huntington (Undated),,,150,
Bridgewater (Undated),Huntington (1918),,1918,159,
Halliwell Phillipps (1889),Britwell (1921),1889,1921,161,248
