Source_id,Target_id,Source,Target,SourceYear,TargetYear,Book,Lot
ec2dba72-7994-42b2-bad1-a9ca7ea2f4e5,77799202-94a3-49de-907e-4179d2707d78,Kemble (1798),Devonshire (Undated),1798,,779,
c4c5f2f7-cbbd-43bc-9e7c-026644731e07,ecc24349-ad43-4d42-b198-036989e88281,Steeves (1916),G.D.Smith (1920),1916,1920,780,329
9dd71847-c38d-4602-8adc-5fd2130d45a7,07f6f70b-d07b-4154-a190-2a5e7f7ec9f1,James Perry (1823),Jolley (1844),1823,1844,769,303
b16d570f-a56e-4779-89f8-8dc9130e02a0,e56a223d-f2b5-438b-b708-d47f65d8df98,Bright (1845),Comerford (1881),1845,1881,770,4109
94718cfc-e04c-4460-8d34-58d7ad1050fc,ee016e7e-85f5-446e-accb-ff68deed5ca3,Jones (1923),Clawson (1926),1923,1926,767,44
f141d8ee-d289-4428-8acd-c7afee1781be,d522c6d7-247d-4191-8967-3add166449ab,H.G.Read (Undated),McKee (1901),,1901,769,
109cb08b-ceac-4fd8-9cce-1dc111befbec,061f035c-487e-4c25-941c-f5140da737c4,Bridgewater (Undated),Huntington (1918),,1918,772,
59156046-9194-4a8a-a6ba-45190e7da42f,c3d88f6b-76a4-4e0d-96eb-5f7ef0611de2,Sotheby’s (1904),G.D.Smith (1920),1904,1920,769,583
77799202-94a3-49de-907e-4179d2707d78,6167344f-49ba-4d4c-9cb7-4a4f5efecb51,Devonshire (Undated),Huntington (1918),,1918,779,
1b495085-5881-44b6-98e7-4a00a7acbc63,b2774666-d87d-4521-b235-d43d686c889c,R.S.Turner (1888),Charles Butler of Warren Wood (1911),1888,1911,780,3018
71247b79-e399-4e03-9028-e9cdcb66ed42,f92e1eab-327a-4f5c-be4d-a3e8f244b590,Ouvry (1882),Locker (Undated),1882,,781,1097
211698f9-b100-4a23-af02-9f4e8e84a673,275c1f80-b17e-40eb-981e-2470ffe13042,Heber (1834),Britwell (1922),1834,1922,773,1865
d522c6d7-247d-4191-8967-3add166449ab,59156046-9194-4a8a-a6ba-45190e7da42f,McKee (1901),Sotheby’s (1904),1901,1904,769,
e56a223d-f2b5-438b-b708-d47f65d8df98,e561c6f8-45f5-40ea-8595-39589564a267,Comerford (1881),G.D.Smith (1920),1881,1920,770,2839
734caf6a-4755-4583-8800-8f7860156ad1,cf1c8086-0862-4257-ab28-9d4998e45930,E.D.Church (Undated),Huntington (1919),,1919,771,
b2774666-d87d-4521-b235-d43d686c889c,c4c5f2f7-cbbd-43bc-9e7c-026644731e07,Charles Butler of Warren Wood (1911),Steeves (1916),1911,1916,780,844
df66402a-96a3-451d-bdf8-4521fddccd4a,9dd71847-c38d-4602-8adc-5fd2130d45a7,Scott’s Cat. (1804),James Perry (1823),1804,1823,769,550
07f6f70b-d07b-4154-a190-2a5e7f7ec9f1,fe5afaa0-3b4e-476e-aaf0-6361b70b8185,Jolley (1844),Charles Clark of Totham Hall (Undated),1844,,769,1614
fe5afaa0-3b4e-476e-aaf0-6361b70b8185,f141d8ee-d289-4428-8acd-c7afee1781be,Charles Clark of Totham Hall (Undated),H.G.Read (Undated),,,769,
7d65b4af-b8fe-40b2-bbe2-d3d80af28a1b,fdafebfd-e37d-4100-80a5-13199699716d,C.L.F. Robinson (1917),Chew (1924),1917,1924,781,467
f92e1eab-327a-4f5c-be4d-a3e8f244b590,0ec4d38b-c843-4cb0-8b8c-ed4a542e1823,Locker (Undated),Hoe (1912),,1912,781,
0ec4d38b-c843-4cb0-8b8c-ed4a542e1823,7d65b4af-b8fe-40b2-bbe2-d3d80af28a1b,Hoe (1912),C.L.F. Robinson (1917),1912,1917,781,2468
5bd2449f-37b8-4045-802d-0fe6b9157dda,7875ed7f-f61c-402f-8395-41a18088ef4d,Mostyn (1919),Clawson (1926),1919,1926,520,71
