Source,Target,Year,Book,Lot
ec2dba72-7994-42b2-bad1-a9ca7ea2f4e5,77799202-94a3-49de-907e-4179d2707d78,1798,779,
c4c5f2f7-cbbd-43bc-9e7c-026644731e07,ecc24349-ad43-4d42-b198-036989e88281,1916,780,329
9dd71847-c38d-4602-8adc-5fd2130d45a7,07f6f70b-d07b-4154-a190-2a5e7f7ec9f1,1823,769,303
b16d570f-a56e-4779-89f8-8dc9130e02a0,e56a223d-f2b5-438b-b708-d47f65d8df98,1845,770,4109
94718cfc-e04c-4460-8d34-58d7ad1050fc,ee016e7e-85f5-446e-accb-ff68deed5ca3,1923,767,44
f141d8ee-d289-4428-8acd-c7afee1781be,d522c6d7-247d-4191-8967-3add166449ab,,769,
109cb08b-ceac-4fd8-9cce-1dc111befbec,061f035c-487e-4c25-941c-f5140da737c4,,772,
59156046-9194-4a8a-a6ba-45190e7da42f,c3d88f6b-76a4-4e0d-96eb-5f7ef0611de2,1904,769,583
77799202-94a3-49de-907e-4179d2707d78,6167344f-49ba-4d4c-9cb7-4a4f5efecb51,,779,
1b495085-5881-44b6-98e7-4a00a7acbc63,b2774666-d87d-4521-b235-d43d686c889c,1888,780,3018
71247b79-e399-4e03-9028-e9cdcb66ed42,f92e1eab-327a-4f5c-be4d-a3e8f244b590,1882,781,1097
211698f9-b100-4a23-af02-9f4e8e84a673,275c1f80-b17e-40eb-981e-2470ffe13042,1834,773,1865
d522c6d7-247d-4191-8967-3add166449ab,59156046-9194-4a8a-a6ba-45190e7da42f,1901,769,
e56a223d-f2b5-438b-b708-d47f65d8df98,e561c6f8-45f5-40ea-8595-39589564a267,1881,770,2839
734caf6a-4755-4583-8800-8f7860156ad1,cf1c8086-0862-4257-ab28-9d4998e45930,,771,
b2774666-d87d-4521-b235-d43d686c889c,c4c5f2f7-cbbd-43bc-9e7c-026644731e07,1911,780,844
df66402a-96a3-451d-bdf8-4521fddccd4a,9dd71847-c38d-4602-8adc-5fd2130d45a7,1804,769,550
07f6f70b-d07b-4154-a190-2a5e7f7ec9f1,fe5afaa0-3b4e-476e-aaf0-6361b70b8185,1844,769,1614
fe5afaa0-3b4e-476e-aaf0-6361b70b8185,f141d8ee-d289-4428-8acd-c7afee1781be,,769,
7d65b4af-b8fe-40b2-bbe2-d3d80af28a1b,fdafebfd-e37d-4100-80a5-13199699716d,1917,781,467
f92e1eab-327a-4f5c-be4d-a3e8f244b590,0ec4d38b-c843-4cb0-8b8c-ed4a542e1823,,781,
0ec4d38b-c843-4cb0-8b8c-ed4a542e1823,7d65b4af-b8fe-40b2-bbe2-d3d80af28a1b,1912,781,2468
5bd2449f-37b8-4045-802d-0fe6b9157dda,7875ed7f-f61c-402f-8395-41a18088ef4d,1919,520,71
6cc7336a-a6b0-4445-ba13-213f3425a17c,a3806a17-f9bd-4671-a0e5-2f0e73475c56,1709,MS. 40A,
dcb9eb90-52aa-47ff-ab89-b4cd4bc090d2,9df19186-107d-448d-82f3-268d9e06572c,1920,521,358
37320498-7d42-48f1-9413-8f417c50f197,83237578-6d44-4d9d-b90e-2f9fdaa1627a,1874,527,1586
19c20183-0846-407f-b2ae-b970b59cba0e,8fffe0d4-1075-4365-a5e5-5a6cb32d8f76,1826,529,764
c708cd0d-364f-407d-9ca6-887eac8cc532,21e13b7f-67f1-45eb-a29c-4f4fd68db899,1919,526,361
d382b898-7e1a-45c5-a654-4dd6cfa54083,c316b788-a8e8-4229-b17a-635472f3b97d,1858,530,1499
37fde9ac-27d1-4030-bdab-b2b0bb5f330f,dcb9eb90-52aa-47ff-ab89-b4cd4bc090d2,1919,521,347
e08aae0f-50d9-460f-af6d-b2de031b4d91,dfa85f83-6f78-4fb8-b0f9-af18d8848490,1919,518,171
6f3b5dcd-af97-4224-907e-2df94239d53b,d900b757-a6c4-4920-8fe6-10db0369144d,1919,523,
5bf7b3ff-7c3c-4672-a160-984978e36de4,6f3b5dcd-af97-4224-907e-2df94239d53b,1918,523,182
a3806a17-f9bd-4671-a0e5-2f0e73475c56,df0a8452-67c7-4369-9c42-5bb857381684,,MS. 40A,
df0a8452-67c7-4369-9c42-5bb857381684,fc9db9b3-24fc-4c1b-8d89-94a5e3ef925d,1820,MS. 40A,
c316b788-a8e8-4229-b17a-635472f3b97d,3a1aa095-bc24-4e61-96cb-ad75bafe14cc,1912,530,1653
307f6511-bdde-4f30-bd10-6f463e7517e3,e0bf45c7-342f-4c4a-b383-480a20838e05,1919,524,338
c425292e-3424-465a-9d82-4439e6755692,37320498-7d42-48f1-9413-8f417c50f197,1869,527,712
83237578-6d44-4d9d-b90e-2f9fdaa1627a,52b739bd-67d6-4410-9b94-230422efb3d1,1914,527,3978
b694af9b-2c01-446f-84b0-0cf3ebaf9994,3de3db24-a688-4a91-92a1-685d7bd2770c,1912,806,2599
75ed0d08-3e87-44b6-88f5-b9f9b79928ff,3577b77b-ed6c-4fa4-b69c-3c2b48f1e80f,,804,
f53f4056-704f-4ff0-92b1-eb2c1c4d98c5,bbfdfd1e-35e7-48ac-b8df-6d4784fa130b,,805,
c2f85571-9ea8-4ac3-9c2d-1f7941f05e89,5dba3754-aea4-4115-9a34-b992336f882c,1901,808,
f506b2fb-1d3a-49c5-bd7b-21a4f3da3208,103d8993-65a5-4a85-bfce-d7c06dcba252,1834,807,2007t
78525d81-91d9-41db-9688-52a7d589356b,75ed0d08-3e87-44b6-88f5-b9f9b79928ff,1798,804,
ba43c80f-33c6-4b39-bf9c-5fde24fbbfa6,5d051b19-fabe-49f8-8e50-540e51278b7d,1914,809,583
62e025fd-7143-4fad-87ee-bd3fa3dc5a96,ba43c80f-33c6-4b39-bf9c-5fde24fbbfa6,,809,
