Source,Target,Books,Years,Edge Label,Weight
A.H.Joline,Mark P. Robinson,['447'],[''],"['Book 447: Undated, Lot n/a ']",1
Adams,Pforzheimer,['948'],['1931'],"['Book 948: 1931, Lot 259 ']",1
Aldenham,Pforzheimer,"['App.3', 'App.5']","['1937', '1937']","['Book App.3: 1937, Lot Lot 271 ', 'Book App.5: 1937, Lot Lot 214 ']",2
Alexander Dalrymple,Heber,['App.9'],['1809'],"['Book App.9: 1809, Lot n/a ']",1
Alexander Young,Henkels Miscellany,['430'],['1890'],"['Book 430: 1890, Lot 354 ']",1
Alfred Morrison,Pforzheimer,"['819', 'MS.103a', 'MS.103b', 'MS. 103c', 'MS.104a', 'MS.104c', 'MS.104d', 'MS.105C', 'MS.105D', 'MS.105G', 'MS.10a', 'MS.10B', 'MS.11A', 'MS.11C', 'MS.120', 'MS.121', 'MS.122', 'MS.123', 'MS.124', 'MS.125', 'MS.126', 'MS.127', 'MS.128', 'MS.129', 'MS.130', 'MS.131', 'MS.132', 'MS.133', 'MS.134', 'MS.135', 'MS.136', 'MS.137', 'MS.138', 'MS.139', 'MS.13A', 'MS.140', 'MS.141', 'MS.142', 'MS.143', 'MS.144', 'MS.145', 'MS.146', 'MS.147', 'MS.148', 'MS.149', 'MS.150', 'MS.151', 'MS.152', 'MS.153', 'MS.154', 'MS.155', 'MS.156', 'MS.157', 'MS.158', 'MS.159', 'MS.160', 'MS.161', 'MS.162', 'MS.163', 'MS.164', 'MS.165', 'MS.166', 'MS.167', 'MS.168', 'MS.1a', 'MS.1b', 'MS. 1c', 'MS.1d', 'MS.1e', 'MS.1f', 'MS.1g', 'MS.1h', 'MS.1j', 'MS.1l', 'MS.1m', 'MS.1n', 'MS.1p', 'MS.1q', 'MS.1r', 'MS.1s', 'MS.2a', 'MS.35A', 'MS.35D', 'MS.35E', 'MS.35F', 'MS.35G', 'MS.35H', 'MS.35I', 'MS.35M', 'MS.35N', 'MS.35O', 'MS.35P', 'MS.35Q', 'MS.41a', 'MS.41b', 'MS.41c', 'MS 108', 'MS 112']","['1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919', '1919']","['Book 819: 1919, Lot 3058 ', 'Book MS.103a: 1919, Lot 2744 ', 'Book MS.103b: 1919, Lot 2744 ', 'Book MS. 103c: 1919, Lot 2757 ', 'Book MS.104a: 1919, Lot 2744 ', 'Book MS.104c: 1919, Lot 2678 ', 'Book MS.104d: 1919, Lot 2709 ', 'Book MS.105C: 1919, Lot 3042 ', 'Book MS.105D: 1919, Lot 3043 ', 'Book MS.105G: 1919, Lot 3043 ', 'Book MS.10a: 1919, Lot 2933 ', 'Book MS.10B: 1919, Lot 2933 ', 'Book MS.11A: 1919, Lot 2803 ', 'Book MS.11C: 1919, Lot 2933 ', 'Book MS.120: 1919, Lot 3027 ', 'Book MS.121: 1919, Lot 3027 ', 'Book MS.122: 1919, Lot 2754 ', 'Book MS.123: 1919, Lot 2754 ', 'Book MS.124: 1919, Lot 2754 ', 'Book MS.125: 1919, Lot 2754 ', 'Book MS.126: 1919, Lot 2814 ', 'Book MS.127: 1919, Lot 3027 ', 'Book MS.128: 1919, Lot 2814 ', 'Book MS.129: 1919, Lot 2814 ', 'Book MS.130: 1919, Lot 2814 ', 'Book MS.131: 1919, Lot 3027 ', 'Book MS.132: 1919, Lot 3027 ', 'Book MS.133: 1919, Lot 2754 ', 'Book MS.134: 1919, Lot 2814 ', 'Book MS.135: 1919, Lot 2814 ', 'Book MS.136: 1919, Lot 2814 ', 'Book MS.137: 1919, Lot 2814 ', 'Book MS.138: 1919, Lot 2814 ', 'Book MS.139: 1919, Lot 2814 ', 'Book MS.13A: 1919, Lot 2933 ', 'Book MS.140: 1919, Lot 2748 ', 'Book MS.141: 1919, Lot 2814 ', 'Book MS.142: 1919, Lot 2814 ', 'Book MS.143: 1919, Lot 2814 ', 'Book MS.144: 1919, Lot 2814 ', 'Book MS.145: 1919, Lot 2814 ', 'Book MS.146: 1919, Lot 2814 ', 'Book MS.147: 1919, Lot 2814 ', 'Book MS.148: 1919, Lot 2814 ', 'Book MS.149: 1919, Lot 2814 ', 'Book MS.150: 1919, Lot 2748 ', 'Book MS.151: 1919, Lot 2754 ', 'Book MS.152: 1919, Lot 3027 ', 'Book MS.153: 1919, Lot 3027 ', 'Book MS.154: 1919, Lot 2754 ', 'Book MS.155: 1919, Lot 2754 ', 'Book MS.156: 1919, Lot 2754 ', 'Book MS.157: 1919, Lot 2754 ', 'Book MS.158: 1919, Lot 2754 ', 'Book MS.159: 1919, Lot 2754 ', 'Book MS.160: 1919, Lot 2754 ', 'Book MS.161: 1919, Lot 2754 ', 'Book MS.162: 1919, Lot 2754 ', 'Book MS.163: 1919, Lot 2754 ', 'Book MS.164: 1919, Lot 2754 ', 'Book MS.165: 1919, Lot 2754 ', 'Book MS.166: 1919, Lot 2754 ', 'Book MS.167: 1919, Lot 2754 ', 'Book MS.168: 1919, Lot 2754 ', 'Book MS.1a: 1919, Lot 2744 ', 'Book MS.1b: 1919, Lot 2744 ', 'Book MS. 1c: 1919, Lot 2694 ', 'Book MS.1d: 1919, Lot 2744 ', 'Book MS.1e: 1919, Lot 2697 ', 'Book MS.1f: 1919, Lot 2697 ', 'Book MS.1g: 1919, Lot 2744 ', 'Book MS.1h: 1919, Lot 2744 ', 'Book MS.1j: 1919, Lot 2744 ', 'Book MS.1l: 1919, Lot 2744 ', 'Book MS.1m: 1919, Lot 2744 ', 'Book MS.1n: 1919, Lot 3059 ', 'Book MS.1p: 1919, Lot 2744 ', 'Book MS.1q: 1919, Lot 2744 ', 'Book MS.1r: 1919, Lot 2744 ', 'Book MS.1s: 1919, Lot 2744 ', 'Book MS.2a: 1919, Lot 2744 ', 'Book MS.35A: 1919, Lot 2824 ', 'Book MS.35D: 1919, Lot 2820 ', 'Book MS.35E: 1919, Lot 2822 ', 'Book MS.35F: 1919, Lot 2822 ', 'Book MS.35G: 1919, Lot 2822 ', 'Book MS.35H: 1919, Lot 2822 ', 'Book MS.35I: 1919, Lot 2822 ', 'Book MS.35M: 1919, Lot 2701 ', 'Book MS.35N: 1919, Lot 3028 ', 'Book MS.35O: 1919, Lot 2702 ', 'Book MS.35P: 1919, Lot 2702 ', 'Book MS.35Q: 1919, Lot 2702 ', 'Book MS.41a: 1919, Lot 3028 ', 'Book MS.41b: 1919, Lot 3028 ', 'Book MS.41c: 1919, Lot 3028 ', 'Book MS 108: 1919, Lot n/a ', 'Book MS 112: 1919, Lot 3057 ']",98
Am. Art Assoc.,Seth Terry,['362'],['1926'],"['Book 362: 1926, Lot 159 ']",1
Ames,Thos. Barret Brydges Barrett,['42'],[''],"['Book 42: Undated, Lot n/a ']",1
Amsterdam sale,Alfred Morrison,['MS.156'],['1882'],"['Book MS.156: 1882, Lot 165 ']",1
Anderson’s,Jones,['243'],['1919'],"['Book 243: 1919, Lot 243 ']",1
Anderson’s,Pforzheimer,['538'],['1920'],"['Book 538: 1920, Lot 562 ']",1
Arbury,Clawson,"['415', '480']","['1920', '1921']","['Book 415: 1920, Lot 131 ', 'Book 480: 1921, Lot 169 ']",2
Arbury,G.D.Smith,"['131', '357', '899', '437', '372-1', '667']","['1920', '1920', '1920', '1920', '1920', '1920']","['Book 131: 1920, Lot 52 ', 'Book 357: 1920, Lot 100 ', 'Book 899: 1920, Lot 297 ', 'Book 437: 1920, Lot 45 ', 'Book 372-1: 1920, Lot 113 ', 'Book 667: 1920, Lot 202 ']",6
Arbury,Smith,['1094'],['1920'],"['Book 1094: 1920, Lot 33 ']",1
Archbishop Wrangham,Britwell,['426'],['1843'],"['Book 426: 1843, Lot 1093 ']",1
Arnold,D.F. Appleton,['464'],['1901'],"['Book 464: 1901, Lot 159 ']",1
Arnold,Hagen,"['631', '842']","['1901', '1901']","['Book 631: 1901, Lot 263 ', 'Book 842: 1901, Lot 295 ']",2
Ashburnham,Hoe,"['248', '945']","['1897', '1898']","['Book 248: 1897, Lot 1259 ', 'Book 945: 1898, Lot 3424 ']",2
Ashburnham,J.T. Adams,['855'],['1898'],"['Book 855: 1898, Lot 3337 ']",1
Ashburnham,Lefferts,['17'],['1897'],"['Book 17: 1897, Lot 164 ']",1
Ashburnham,Ross Winans,['173'],['1897'],"['Book 173: 1897, Lot 1052 ']",1
Ashburnham,Thomas Brooke,['494'],['1897'],"['Book 494: 1897, Lot 1984 ']",1
Ashburnham,Winans,['1025'],[''],"['Book 1025: Undated, Lot n/a ']",1
Ayles- ford,Pforzheimer,['298'],['1888'],"['Book 298: 1888, Lot 731 ']",1
B.A.P.,Heber,['943'],['1815'],"['Book 943: 1815, Lot 686 ']",1
B.A.P.No.554,Heber,['786'],[''],"['Book 786: Undated, Lot n/a ']",1
B.H. Bright,Corser,['417'],['1845'],"['Book 417: 1845, Lot 5758 ']",1
B.H. Bright,Pforzheimer,['21'],['1845'],"['Book 21: 1845, Lot n/a ']",1
B.H. Bright,T.D.C. Graham,['167'],['1845'],"['Book 167: 1845, Lot 2980 ']",1
Bangs,Hagen,['372-2'],['1901'],"['Book 372-2: 1901, Lot 76 ']",1
Baron Bolland,Sewall,['143'],['1840'],"['Book 143: 1840, Lot n/a ']",1
Baron Bolland,Utterson,['965'],['1840'],"['Book 965: 1840, Lot 2150 ']",1
Beckford,Hoe,['341'],['1882'],"['Book 341: 1882, Lot 2675 ']",1
Benoit le Court,E.Ph.Goldschmidt,['75'],[''],"['Book 75: Undated, Lot n/a ']",1
Beverly Chew,Huntington,['305'],[''],"['Book 305: Undated, Lot n/a ']",1
Bierstadt,Lefferts,['1054'],['1897'],"['Book 1054: 1897, Lot 2281 ']",1
Bierstadt,Pforzheimer,['412'],['1897'],"['Book 412: 1897, Lot 839 ']",1
Bindley,Bright,['204'],['1819'],"['Book 204: 1819, Lot 1624 ']",1
